loss,d,n,log_n,best_margin
SigLIP,5,20,2.995732273553991,-5.1787676056846976e-05
SigLIP,5,40,3.6888794541139363,-0.001962261158041656
SigLIP,5,60,4.0943445622221,-0.0028061725897714496
SigLIP,5,80,4.382026634673881,-0.0033358332002535462
SigLIP,5,100,4.605170185988092,-0.0037521362537518144
SigLIP,5,120,4.787491742782046,-0.004080295562744141
SigLIP,5,140,4.941642422609304,-0.0027598440647125244
SigLIP,5,160,5.075173815233827,-0.003133803606033325
SigLIP,5,180,5.19295685089021,-0.003648132085800171
SigLIP,5,200,5.298317366548036,-0.003783673048019409
SigLIP,5,220,5.393627546352362,-0.0030401945114135742
SigLIP,5,240,5.480638923341991,-0.002815335988998413
SigLIP,15,20,2.995732273553991,0.1987481564283371
SigLIP,15,40,3.6888794541139363,0.11780628189444542
SigLIP,15,60,4.0943445622221,0.08277326822280884
SigLIP,15,80,4.382026634673881,0.07016705349087715
SigLIP,15,100,4.605170185988092,0.062008336186409
SigLIP,15,120,4.787491742782046,0.056519147008657455
SigLIP,15,140,4.941642422609304,0.049597037956118584
SigLIP,15,160,5.075173815233827,0.04580918699502945
SigLIP,15,180,5.19295685089021,0.04127330146729946
SigLIP,15,200,5.298317366548036,0.037590453401207924
SigLIP,15,220,5.393627546352362,0.036288222298026085
SigLIP,15,240,5.480638923341991,0.034896304830908775
SigLIP,20,20,2.995732273553991,0.28976400196552277
SigLIP,20,40,3.6888794541139363,0.16284921765327454
SigLIP,20,60,4.0943445622221,0.12390204146504402
SigLIP,20,80,4.382026634673881,0.10022876039147377
SigLIP,20,100,4.605170185988092,0.08648360520601273
SigLIP,20,120,4.787491742782046,0.0778813473880291
SigLIP,20,140,4.941642422609304,0.07145626470446587
SigLIP,20,160,5.075173815233827,0.06755698099732399
SigLIP,20,180,5.19295685089021,0.06487436592578888
SigLIP,20,200,5.298317366548036,0.05871986225247383
SigLIP,20,220,5.393627546352362,0.0561392568051815
SigLIP,20,240,5.480638923341991,0.05248383805155754
SigLIP,25,20,2.995732273553991,0.2900610864162445
SigLIP,25,40,3.6888794541139363,0.1864406019449234
SigLIP,25,60,4.0943445622221,0.15289641171693802
SigLIP,25,80,4.382026634673881,0.13080233335494995
SigLIP,25,100,4.605170185988092,0.11488743126392365
SigLIP,25,120,4.787491742782046,0.09641283005475998
SigLIP,25,140,4.941642422609304,0.0894785076379776
SigLIP,25,160,5.075173815233827,0.0848761610686779
SigLIP,25,180,5.19295685089021,0.07937103137373924
SigLIP,25,200,5.298317366548036,0.0769922286272049
SigLIP,25,220,5.393627546352362,0.07403801381587982
SigLIP,25,240,5.480638923341991,0.06950758397579193
SigLIP,30,20,2.995732273553991,0.29006317257881165
SigLIP,30,40,3.6888794541139363,0.19848865270614624
SigLIP,30,60,4.0943445622221,0.17370232939720154
SigLIP,30,80,4.382026634673881,0.15189579874277115
SigLIP,30,100,4.605170185988092,0.13858404010534286
SigLIP,30,120,4.787491742782046,0.129904605448246
SigLIP,30,140,4.941642422609304,0.12120552361011505
SigLIP,30,160,5.075173815233827,0.11227751150727272
SigLIP,30,180,5.19295685089021,0.09840114414691925
SigLIP,30,200,5.298317366548036,0.09389794617891312
SigLIP,30,220,5.393627546352362,0.08876393735408783
SigLIP,30,240,5.480638923341991,0.0882163941860199
