loss,n,k,N,seed,d,run_dir,best_margin_in_run
InfoNCE,140,2,9730,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_5,-0.2468481957912445
InfoNCE,160,2,12720,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_15,-0.0961749404668808
InfoNCE,160,2,12720,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_20,-0.020608752965927124
InfoNCE,160,2,12720,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_25,0.02805444598197937
InfoNCE,160,2,12720,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_30,0.05995027720928192
InfoNCE,160,2,12720,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_5,-0.2891235202550888
InfoNCE,180,2,16110,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_15,-0.1019735038280487
InfoNCE,180,2,16110,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_20,-0.04145956039428711
InfoNCE,180,2,16110,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_25,0.014012232422828674
InfoNCE,180,2,16110,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_30,0.057480230927467346
InfoNCE,180,2,16110,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_5,-0.2734766751527786
InfoNCE,200,2,19900,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_15,-0.11129787564277649
InfoNCE,200,2,19900,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_20,-0.044568464159965515
InfoNCE,200,2,19900,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_25,0.013263776898384094
InfoNCE,200,2,19900,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_30,0.04956783354282379
InfoNCE,200,2,19900,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_5,-0.28596891462802887
InfoNCE,20,2,190,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_15,0.15547198802232742
InfoNCE,20,2,190,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_20,0.20348965376615524
