loss,n,N,d,positive_score_minimum,negative_score_maximum,extrema_midpoint_threshold,margin,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,200,19900,6,0.38568994402885437,0.9772509932518005,0.6814704686403275,-0.5915610492229462,9991,3940200,0.0025356580884219075,37846,39800,0.9509045226130654
InfoNCE,200,19900,7,0.3795568645000458,0.9616934657096863,0.670625165104866,-0.5821366012096405,10105,3940200,0.002564590629917263,37296,39800,0.9370854271356784
InfoNCE,200,19900,8,0.4230044484138489,0.9410955309867859,0.6820499897003174,-0.518091082572937,7178,3940200,0.0018217349373128267,36823,39800,0.9252010050251256
InfoNCE,200,19900,9,0.4101535677909851,0.873565137386322,0.6418593525886536,-0.4634115695953369,10597,3940200,0.0026894573879498503,33619,39800,0.8446984924623115
InfoNCE,200,19900,10,0.37805691361427307,0.9024896621704102,0.6402732878923416,-0.5244327485561371,9128,3940200,0.002316633673417593,32291,39800,0.8113316582914573
InfoNCE,200,19900,11,0.4550134241580963,0.8015856742858887,0.6282995492219925,-0.34657225012779236,8945,3940200,0.002270189330490838,29022,39800,0.7291959798994975
InfoNCE,200,19900,12,0.429104745388031,0.7951121926307678,0.6121084690093994,-0.3660074472427368,10030,3940200,0.0025455560631440026,24900,39800,0.6256281407035176
InfoNCE,200,19900,13,0.447053462266922,0.7587909698486328,0.6029222160577774,-0.3117375075817108,8723,3940200,0.0022138470128419876,22145,39800,0.5564070351758794
InfoNCE,200,19900,14,0.4429313838481903,0.7442365288734436,0.593583956360817,-0.3013051450252533,7730,3940200,0.001961829348764022,18780,39800,0.47185929648241204
InfoNCE,200,19900,15,0.4426145553588867,0.7202768325805664,0.5814456939697266,-0.2776622772216797,6658,3940200,0.0016897619410182225,15268,39800,0.3836180904522613
InfoNCE,200,19900,16,0.4394308626651764,0.6731963753700256,0.556313619017601,-0.23376551270484924,7737,3940200,0.0019636059083295264,9661,39800,0.24273869346733667
InfoNCE,200,19900,17,0.4252883195877075,0.6636974811553955,0.5444929003715515,-0.238409161567688,5446,3940200,0.001382163341962337,6608,39800,0.16603015075376884
InfoNCE,200,19900,18,0.4289838969707489,0.6407904624938965,0.5348871797323227,-0.21180656552314758,4189,3940200,0.0010631440028424954,4598,39800,0.11552763819095477
InfoNCE,200,19900,19,0.42876389622688293,0.630358874797821,0.529561385512352,-0.2015949785709381,2835,3940200,0.0007195066240292371,3534,39800,0.08879396984924623
InfoNCE,200,19900,20,0.43249940872192383,0.5961571931838989,0.5143283009529114,-0.1636577844619751,1959,3940200,0.0004971828841175575,1940,39800,0.04874371859296482
InfoNCE,200,19900,21,0.42803990840911865,0.5772257447242737,0.5026328265666962,-0.14918583631515503,1215,3940200,0.0003083599817268159,920,39800,0.023115577889447236
InfoNCE,200,19900,22,0.4301098585128784,0.5609842538833618,0.4955470561981201,-0.1308743953704834,714,3940200,0.00018120907568143748,522,39800,0.013115577889447236
InfoNCE,200,19900,23,0.4327232539653778,0.5454677939414978,0.4890955239534378,-0.11274453997612,442,3940200,0.00011217704685041368,358,39800,0.008994974874371859
InfoNCE,200,19900,24,0.4200363755226135,0.5248225331306458,0.47242945432662964,-0.10478615760803223,279,3940200,7.080858839652809e-05,124,39800,0.0031155778894472364
InfoNCE,200,19900,25,0.43749409914016724,0.5240896344184875,0.4807918667793274,-0.08659553527832031,44,3940200,1.1166945840312674e-05,192,39800,0.004824120603015076
InfoNCE,200,19900,26,0.4379711449146271,0.5051571130752563,0.4715641289949417,-0.06718596816062927,29,3940200,7.360032485660626e-06,98,39800,0.002462311557788945
InfoNCE,200,19900,27,0.44715413451194763,0.48488831520080566,0.46602122485637665,-0.03773418068885803,11,3940200,2.7917364600781684e-06,40,39800,0.0010050251256281408
InfoNCE,200,19900,28,0.4422352612018585,0.4652136564254761,0.4537244588136673,-0.022978395223617554,7,3940200,1.7765595655042891e-06,6,39800,0.00015075376884422112
InfoNCE,200,19900,29,0.44112342596054077,0.45845603942871094,0.44978973269462585,-0.017332613468170166,2,3940200,5.075884472869398e-07,6,39800,0.00015075376884422112
InfoNCE,200,19900,30,0.4508993625640869,0.44896912574768066,0.4499342441558838,0.00193023681640625,0,3940200,0.0,0,39800,0.0
InfoNCE,220,24090,5,0.38942843675613403,0.991433322429657,0.6904308795928955,-0.602004885673523,14828,5251620,0.0028235096979598675,46116,48180,0.9571606475716065
InfoNCE,220,24090,6,0.3893604576587677,0.9750419855117798,0.6822012215852737,-0.5856815278530121,12220,5251620,0.002326901032443322,46100,48180,0.9568285595682856
InfoNCE,220,24090,7,0.39495739340782166,0.9517695307731628,0.6733634620904922,-0.5568121373653412,10153,5251620,0.0019333081982321645,45602,48180,0.9464923204649232
InfoNCE,220,24090,8,0.4178677797317505,0.9164038300514221,0.6671358048915863,-0.49853605031967163,10978,5251620,0.002090402580537053,44286,48180,0.9191780821917809
