loss,n,N,d,positive_score_mean,negative_score_mean,midpoint_threshold,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,40,780,14,0.652471291846954,-0.03352171643786129,0.30947478770454634,1283,29640,0.04328609986504724,0,1560,0.0
InfoNCE,40,780,15,0.6506008959542482,-0.03320156594957463,0.3086996650023368,895,29640,0.030195681511470986,0,1560,0.0
InfoNCE,40,780,16,0.6505982156556386,-0.0339881168293497,0.30830504941314446,472,29640,0.01592442645074224,0,1560,0.0
InfoNCE,40,780,17,0.6540366850602322,-0.03383413239566645,0.31010127633228285,182,29640,0.0061403508771929825,0,1560,0.0
InfoNCE,40,780,18,0.6533989368340908,-0.03305562406637613,0.31017165638385735,91,29640,0.0030701754385964912,0,1560,0.0
InfoNCE,40,780,19,0.6524466734666091,-0.033999922501872226,0.30922337548236845,36,29640,0.0012145748987854252,0,1560,0.0
InfoNCE,40,780,20,0.6543323740554161,-0.03390951394382901,0.31021143005579355,10,29640,0.00033738191632928474,0,1560,0.0
InfoNCE,40,780,21,0.6529222160959856,-0.03288903620252127,0.31001658994673215,1,29640,3.3738191632928474e-05,0,1560,0.0
InfoNCE,40,780,22,0.6499976301040404,-0.03271935284821368,0.30863913862791337,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,23,0.6533187047411234,-0.032863890461836076,0.3102274071396437,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,24,0.648852019279431,-0.032976233981385925,0.30793789264902255,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,25,0.6502777097316889,-0.03270222190247256,0.30878774391460817,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,26,0.6488136366582834,-0.03206059767480629,0.30837651949173855,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,27,0.6494736875479038,-0.033164561184800795,0.3081545631815515,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,28,0.6472897833547531,-0.03296428043580836,0.30716275145947236,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,29,0.6493559813079162,-0.031392738913717855,0.30898162119709915,0,29640,0.0,0,1560,0.0
InfoNCE,40,780,30,0.6450389338991581,-0.03227607229398208,0.306381430802588,0,29640,0.0,0,1560,0.0
InfoNCE,60,1770,5,0.5508746728132674,-0.011251430986320945,0.2698116209134732,36568,102660,0.356204948373271,0,3540,0.0
InfoNCE,60,1770,6,0.5522182898837967,-0.019540754822715597,0.2663387675305406,31863,102660,0.3103740502630041,0,3540,0.0
InfoNCE,60,1770,7,0.581805733166172,-0.02014176853676945,0.2808319823147013,26168,102660,0.25489966880966297,0,3540,0.0
InfoNCE,60,1770,8,0.5889901140567947,-0.02002124147106547,0.28448443629286463,23498,102660,0.22889148646015975,0,3540,0.0
InfoNCE,60,1770,9,0.6080080563486633,-0.02107147034618793,0.29346829300123767,20761,102660,0.20223066432885253,0,3540,0.0
InfoNCE,60,1770,10,0.6117794194379769,-0.02106878099268174,0.29535531922264757,18481,102660,0.18002142996298462,0,3540,0.0
InfoNCE,60,1770,11,0.6349623663361463,-0.021853178249363364,0.30655459404339147,15852,102660,0.15441262419637639,0,3540,0.0
InfoNCE,60,1770,12,0.6415210533024227,-0.02113504431650434,0.31019300449295917,13719,102660,0.13363530099357102,0,3540,0.0
InfoNCE,60,1770,13,0.6489412286608233,-0.022316397602802424,0.3133124155290104,11391,102660,0.11095850379894798,0,3540,0.0
InfoNCE,60,1770,14,0.6526661206605071,-0.022232508857974252,0.31521680590126644,9442,102660,0.09197350477303722,0,3540,0.0
InfoNCE,60,1770,15,0.6542997637879377,-0.021988400102576078,0.31615568184268084,7520,102660,0.07325150983830118,0,3540,0.0
InfoNCE,60,1770,16,0.6557270992189478,-0.022030351269043017,0.31684837397495236,5596,102660,0.054510033119033706,0,3540,0.0
InfoNCE,60,1770,17,0.6572082653220764,-0.021862694483126416,0.317672785419475,3698,102660,0.03602181959867524,0,3540,0.0
InfoNCE,60,1770,18,0.6565869753980367,-0.021427792780338316,0.31757959130884916,2644,102660,0.025754919150594194,0,3540,0.0
InfoNCE,60,1770,19,0.6585495350135249,-0.022069570166121093,0.3182399824237019,1612,102660,0.015702318332359244,0,3540,0.0
InfoNCE,60,1770,20,0.6584922401918529,-0.0220225925981051,0.3182348237968739,901,102660,0.008776543931424118,0,3540,0.0
InfoNCE,60,1770,21,0.655468878410967,-0.021944915418829248,0.3167619814960689,673,102660,0.006555620494837327,0,3540,0.0
InfoNCE,60,1770,22,0.6558635863375529,-0.022287624334482246,0.3167879810015353,294,102660,0.002863822326125073,0,3540,0.0
InfoNCE,60,1770,23,0.6558835515699818,-0.022245785127771155,0.3168188832211053,161,102660,0.001568283654782778,0,3540,0.0
InfoNCE,60,1770,24,0.6557610514221218,-0.021519974128902507,0.31712053864660966,66,102660,0.0006428988895382817,0,3540,0.0
InfoNCE,60,1770,25,0.6537967734333485,-0.022198213962065585,0.3157992797356415,37,102660,0.000360413013832067,0,3540,0.0
InfoNCE,60,1770,26,0.6545107822212796,-0.0216167449970751,0.3164470186121022,11,102660,0.00010714981492304694,0,3540,0.0
InfoNCE,60,1770,27,0.6557442039588077,-0.02189977905664981,0.31692221245107893,5,102660,4.87044613286577e-05,0,3540,0.0
InfoNCE,60,1770,28,0.6526707971500139,-0.021993766999958468,0.3153385150750277,1,102660,9.74089226573154e-06,0,3540,0.0
InfoNCE,60,1770,29,0.65464034502284,-0.02176694151538868,0.3164367017537256,0,102660,0.0,0,3540,0.0
InfoNCE,60,1770,30,0.6532966697451759,-0.021769412545335626,0.31576362859992013,0,102660,0.0,0,3540,0.0
InfoNCE,80,3160,5,0.5336102314576318,-0.009413671090452509,0.2620982801835896,91534,246480,0.37136481661798115,0,6320,0.0
InfoNCE,80,3160,6,0.568101088316003,-0.014562998109517873,0.2767690451032426,76350,246480,0.30976144109055503,0,6320,0.0
InfoNCE,80,3160,7,0.5653894904953769,-0.014255503606722923,0.275566993444327,66636,246480,0.27035053554040894,0,6320,0.0
InfoNCE,80,3160,8,0.5835867215938206,-0.01477087568061192,0.28440792295660433,57698,246480,0.23408795845504707,0,6320,0.0
InfoNCE,80,3160,9,0.6013809396967857,-0.015615212196140659,0.2928828637503225,50769,246480,0.20597614410905551,0,6320,0.0
InfoNCE,80,3160,10,0.6074444958303548,-0.015624893643940194,0.2959098010932073,45716,246480,0.18547549496916585,0,6320,0.0
InfoNCE,80,3160,11,0.6265968884235319,-0.01571351967154419,0.30544168437599384,40223,246480,0.1631897111327491,0,6320,0.0
InfoNCE,80,3160,12,0.6379668424825502,-0.01637340285533014,0.31079671981361,34822,246480,0.14127718273287893,0,6320,0.0
InfoNCE,80,3160,13,0.6421340832321705,-0.016162709898043564,0.31298568666706345,31220,246480,0.12666342096721844,0,6320,0.0
